zone,date,PM2.5,PM10,NO2,SO2,CO,O3
Dwarka,2025-12-25,131.7,250.9,57.3,24.9,1.4,86.04
Dwarka,2025-12-26,188.2,285.5,60.1,24.2,2.62,72.85
Dwarka,2025-12-27,287.1,399.9,62.6,25.6,3.45,66.05
Dwarka,2025-12-28,253.8,342.8,66.7,21.3,3.39,72.11
Dwarka,2025-12-29,311.8,391.4,63.2,12.1,3.06,56.49
Dwarka,2025-12-30,249.5,328.0,63.8,35.6,2.85,39.23
Dwarka,2025-12-31,295.0,381.2,57.0,20.2,4.58,18.29
Dwarka,2026-01-01,216.8,281.5,42.7,17.2,2.12,23.96
Dwarka,2026-01-02,104.2,139.8,34.8,22.6,1.38,44.41
Dwarka,2026-01-03,125.7,188.5,44.4,21.5,1.8,46.31
Dwarka,2026-01-04,141.5,193.6,42.6,22.9,1.43,58.39
Dwarka,2026-01-05,123.3,180.8,43.3,20.9,1.88,51.35
Dwarka,2026-01-06,156.1,210.6,38.7,18.9,1.37,10.76
Dwarka,2026-01-07,168.4,257.0,49.7,24.2,1.76,47.36
Dwarka,2026-01-08,162.5,256.0,49.8,20.1,2.51,58.46
Dwarka,2026-01-09,244.4,365.4,73.9,24.6,2.46,64.91
Dwarka,2026-01-10,171.7,248.3,50.5,21.5,2.25,40.35
Dwarka,2026-01-11,156.0,215.1,51.0,25.3,1.59,57.51
Dwarka,2026-01-12,194.1,309.7,59.3,19.4,1.15,78.55
Dwarka,2026-01-13,328.7,468.3,75.8,21.6,2.5,77.94
Dwarka,2026-01-14,232.8,296.6,62.6,19.3,2.07,75.76
Dwarka,2026-01-15,222.0,292.5,59.0,22.5,2.63,51.9
Dwarka,2026-01-16,237.5,346.1,62.7,18.8,2.03,103.54
Dwarka,2026-01-17,426.1,591.8,111.4,20.6,3.98,116.04
Dwarka,2026-01-18,300.6,388.7,84.5,15.8,3.36,89.23
Dwarka,2026-01-19,292.0,420.7,98.6,20.9,3.23,89.7
Dwarka,2026-01-20,241.5,363.2,69.9,23.0,2.27,70.52
Dwarka,2026-01-21,205.5,318.8,65.7,21.5,2.4,51.93
Dwarka,2026-01-22,190.6,302.9,69.6,18.1,2.95,14.65
Dwarka,2026-01-23,154.0,198.5,50.6,22.9,1.23,14.88
Dwarka,2026-01-24,81.4,216.7,34.1,25.8,0.8,16.54
Dwarka,2026-01-25,84.2,207.8,46.5,23.9,1.3,8.72
Dwarka,2026-01-26,140.8,291.5,68.6,21.2,2.69,9.01
Dwarka,2026-01-27,165.4,238.3,81.1,22.3,1.78,32.41
Dwarka,2026-01-28,150.4,198.3,49.0,24.7,1.14,29.36
Dwarka,2026-01-29,123.7,202.0,41.8,20.1,1.4,41.33
Dwarka,2026-01-30,102.1,174.2,44.6,21.0,0.7,78.28
Dwarka,2026-01-31,194.4,270.1,60.0,21.5,1.12,75.8
Dwarka,2026-02-01,117.4,173.4,51.1,17.8,2.48,61.03
Dwarka,2026-02-02,136.3,181.3,43.5,18.3,1.27,31.16
Dwarka,2026-02-03,140.3,208.6,56.4,25.5,2.9,75.59
Dwarka,2026-02-04,211.8,322.6,63.8,19.3,4.12,70.4
Dwarka,2026-02-05,127.5,204.3,62.8,25.2,2.21,7.23
Dwarka,2026-02-06,112.5,217.7,65.9,22.8,2.42,12.35
Dwarka,2026-02-07,105.3,191.9,61.9,21.7,1.7,11.79
Dwarka,2026-02-08,96.2,188.0,62.6,26.3,2.7,12.28
Dwarka,2026-02-09,113.9,225.4,88.8,21.6,1.8,11.49
Dwarka,2026-02-10,111.8,287.1,106.0,25.1,3.01,42.16
Dwarka,2026-02-11,150.1,286.5,77.8,25.4,3.27,62.1
Dwarka,2026-02-12,86.0,187.5,59.3,23.3,2.33,54.58
Dwarka,2026-02-13,90.7,203.0,67.6,19.5,2.54,74.03
Dwarka,2026-02-14,113.1,238.0,69.6,25.0,3.5,110.1
Dwarka,2026-02-15,118.2,207.5,63.1,21.3,2.07,103.9
Dwarka,2026-02-16,108.1,288.3,92.1,19.1,1.94,245.0
Dwarka,2026-02-17,73.5,200.3,76.6,21.4,1.33,90.87
Dwarka,2026-02-18,85.8,150.1,72.8,12.9,1.82,38.17
Dwarka,2026-02-19,108.0,187.5,72.1,16.8,2.24,142.66
Dwarka,2026-02-20,98.0,193.7,58.3,17.2,1.73,98.45
Dwarka,2026-02-21,104.7,214.7,57.0,18.7,2.56,107.39
Dwarka,2026-02-22,119.5,293.3,70.8,14.4,1.48,100.49
Dwarka,2026-02-23,116.2,323.1,82.5,8.6,2.9,123.39
Dwarka,2026-02-24,130.2,314.8,73.0,17.0,3.2,106.73
Dwarka,2026-02-25,103.8,268.7,72.8,14.9,2.5,99.45
Dwarka,2026-02-26,88.2,251.5,73.8,14.0,2.8,96.71
Dwarka,2026-02-27,95.5,359.1,77.2,16.4,3.13,111.21
Dwarka,2026-02-28,104.0,371.5,83.5,15.2,3.55,122.55
Dwarka,2026-03-01,81.3,282.2,94.4,18.2,1.45,27.15
Dwarka,2026-03-02,107.9,258.1,62.7,25.2,1.39,116.91
Dwarka,2026-03-03,95.5,230.3,48.5,17.3,1.0,104.28
Dwarka,2026-03-05,70.0,248.7,62.4,22.6,1.24,58.53
Dwarka,2026-03-06,89.2,301.3,62.7,23.4,1.08,111.06
Dwarka,2026-03-07,119.6,381.3,89.2,18.5,2.68,147.74
Dwarka,2026-03-08,108.6,349.1,83.6,22.6,2.7,140.25
Dwarka,2026-03-09,114.3,289.5,62.0,26.7,2.58,104.59
Dwarka,2026-03-10,108.3,300.2,73.0,21.5,1.8,110.15
Dwarka,2026-03-11,103.6,331.8,82.3,23.0,2.49,115.11
Dwarka,2026-03-12,85.7,299.8,70.4,24.1,0.95,97.08
Dwarka,2026-03-13,39.8,150.2,37.4,20.3,0.49,82.9
Dwarka,2026-03-14,91.7,243.6,58.5,29.6,1.9,86.4
Dwarka,2026-03-15,49.7,162.4,55.4,22.7,2.02,82.6
Dwarka,2026-03-16,38.2,148.5,49.5,21.3,1.16,96.03
Dwarka,2026-03-17,82.8,215.5,48.8,25.7,1.38,131.1
Dwarka,2026-03-18,85.3,236.7,49.9,23.7,1.34,203.45
Dwarka,2026-03-19,55.6,114.5,49.2,15.4,1.54,21.25
Dwarka,2026-03-20,46.8,75.2,32.2,15.9,1.11,57.97
Dwarka,2026-03-21,66.4,226.8,46.0,16.8,1.43,85.0
Dwarka,2026-03-22,86.1,247.8,47.2,20.5,1.36,94.23
Dwarka,2026-03-23,48.3,182.1,50.4,16.0,1.3,98.62
Dwarka,2026-03-24,53.6,180.3,47.2,19.9,1.23,102.83
Dwarka,2026-03-25,89.8,300.6,55.3,17.9,1.8,110.41
Dwarka,2026-03-26,92.5,277.5,56.1,21.5,1.32,140.97
Dwarka,2026-03-27,54.8,166.7,37.5,19.4,1.19,80.52
Dwarka,2026-03-28,76.4,226.2,56.7,26.2,2.2,92.24
Dwarka,2026-03-29,79.7,244.4,56.9,20.3,1.98,115.0
Dwarka,2026-03-30,58.1,254.3,71.3,20.4,1.77,76.33
Dwarka,2026-03-31,53.5,167.3,45.3,22.0,1.4,81.66
Dwarka,2026-04-01,44.8,201.8,69.4,18.2,2.35,111.16
Dwarka,2026-04-02,77.9,320.8,73.6,26.6,2.55,113.11
Dwarka,2026-04-03,70.4,276.9,43.2,25.8,1.52,77.64
Dwarka,2026-04-04,65.2,208.9,44.1,23.2,1.89,76.4
Dwarka,2026-04-05,46.6,151.5,43.9,19.5,1.26,107.53
Dwarka,2026-04-06,65.5,241.8,48.8,21.5,1.62,108.73
Dwarka,2026-04-07,31.5,96.8,48.3,13.3,1.64,57.65
Dwarka,2026-04-08,32.9,85.9,38.4,15.6,1.31,104.42
Dwarka,2026-04-09,46.4,206.2,60.6,18.3,2.43,82.73
Dwarka,2026-04-10,75.8,229.9,40.9,21.1,1.38,81.79
Dwarka,2026-04-11,51.6,193.6,38.9,13.4,1.73,78.15
Dwarka,2026-04-12,67.7,202.4,42.1,20.5,1.43,49.1
Dwarka,2026-04-13,75.0,235.4,56.2,19.0,1.86,55.77
Dwarka,2026-04-14,79.6,291.5,66.9,21.7,1.47,60.16
Dwarka,2026-04-15,101.5,351.5,74.4,23.8,3.17,52.24
Dwarka,2026-04-16,116.2,393.3,82.5,22.9,2.45,56.38
Dwarka,2026-04-17,85.2,326.5,85.4,20.9,2.52,48.94
Dwarka,2026-04-18,105.1,43.3,87.6,16.9,1.2,15.03
Dwarka,2026-04-19,135.3,449.9,66.5,24.5,3.23,47.6
Dwarka,2026-04-20,81.7,303.5,51.5,23.9,3.08,46.96
Dwarka,2026-04-21,75.0,279.8,,25.0,1.56,51.9
Dwarka,2026-04-22,92.5,336.2,88.3,25.3,3.07,47.96
Dwarka,2026-04-23,67.2,322.6,50.2,16.4,1.67,41.0
Dwarka,2026-04-24,115.5,432.6,53.8,23.6,2.25,56.08
Dwarka,2026-04-25,110.9,390.5,37.8,25.6,2.03,51.9
Dwarka,2026-04-26,120.0,321.6,31.9,30.2,1.55,53.09
Dwarka,2026-04-27,82.2,323.3,33.9,32.0,1.44,66.04
Dwarka,2026-04-28,54.8,384.8,32.8,18.4,1.32,64.79
Dwarka,2026-04-29,41.4,183.3,39.4,14.3,1.53,54.71
Dwarka,2026-04-30,62.1,226.1,70.9,21.9,1.49,28.89
Dwarka,2026-05-01,44.8,155.4,50.4,16.8,2.1,63.78
Dwarka,2026-05-02,59.2,242.4,46.8,10.2,1.81,46.65
Dwarka,2026-05-03,39.8,194.8,41.5,15.6,0.79,59.66
Dwarka,2026-05-04,15.2,111.2,26.1,10.4,0.54,49.23
Dwarka,2026-05-05,30.8,104.0,51.9,13.0,1.69,43.23
Dwarka,2026-05-06,57.2,248.3,67.1,8.6,1.87,74.91
Dwarka,2026-05-07,35.6,135.5,33.0,13.0,0.51,63.21
Dwarka,2026-05-08,37.4,118.4,25.5,8.2,0.76,61.12
Dwarka,2026-05-09,45.8,157.0,46.6,11.2,0.96,71.08
Dwarka,2026-05-10,55.8,172.1,45.0,12.5,0.84,71.28
Dwarka,2026-05-11,58.2,190.8,50.1,8.4,1.19,68.94
Dwarka,2026-05-12,63.6,205.6,38.2,16.2,0.69,67.04
Dwarka,2026-05-13,59.4,182.9,45.2,13.2,0.9,73.15
Dwarka,2026-05-14,44.2,233.2,42.4,13.6,0.88,89.35
Dwarka,2026-05-15,40.5,229.3,36.4,12.1,1.64,68.99
Dwarka,2026-05-16,86.5,264.1,51.1,16.3,1.05,68.82
Dwarka,2026-05-17,74.2,272.2,38.1,27.3,0.79,60.96
Dwarka,2026-05-18,53.7,268.1,36.5,17.8,0.69,62.85
Dwarka,2026-05-19,46.1,285.0,47.3,21.0,0.73,57.42
Dwarka,2026-05-20,37.5,246.7,48.2,15.5,1.27,49.17
Dwarka,2026-05-21,40.1,319.7,37.1,14.6,0.75,45.36
Dwarka,2026-05-22,45.8,245.0,32.5,14.2,0.86,66.56
Dwarka,2026-05-23,55.4,284.3,43.5,20.0,0.61,58.8
Dwarka,2026-05-24,50.7,310.1,46.8,13.0,1.43,60.34
Dwarka,2026-05-25,48.5,375.8,33.2,13.3,0.9,40.38
Dwarka,2026-05-26,63.5,291.1,50.4,21.5,1.75,67.94
Dwarka,2026-05-27,65.2,337.6,59.5,22.0,2.09,64.23
Dwarka,2026-05-28,69.0,243.2,49.7,13.4,1.1,63.52
Dwarka,2026-05-29,22.9,123.1,35.8,7.7,0.51,58.04
Dwarka,2026-05-30,21.8,139.8,29.7,10.3,0.53,58.39
Dwarka,2026-05-31,24.9,107.9,32.0,7.2,0.56,61.33
Dwarka,2026-06-01,30.4,119.7,39.7,10.2,0.69,66.66
Dwarka,2026-06-02,28.9,114.8,30.7,7.8,0.54,51.81
Dwarka,2026-06-03,57.6,204.2,53.8,14.9,1.05,89.69
Dwarka,2026-06-04,47.9,233.7,48.3,19.0,0.76,61.75
Dwarka,2026-06-05,35.0,296.0,13.9,,0.3,52.7
Dwarka,2026-06-06,56.2,314.0,50.9,12.6,0.95,56.53
Dwarka,2026-06-07,31.3,190.0,40.2,15.2,1.19,33.67
Dwarka,2026-06-08,26.3,180.8,32.7,15.1,0.49,17.51
Dwarka,2026-06-09,32.8,243.0,29.4,18.9,0.55,47.95
Dwarka,2026-06-10,41.6,289.0,42.4,13.9,1.05,32.88
Dwarka,2026-06-11,34.1,170.2,33.1,16.6,0.49,42.67
Dwarka,2026-06-12,21.4,79.1,25.1,8.5,0.85,38.3
Dwarka,2026-06-13,28.3,131.9,43.8,15.1,1.16,69.1
Dwarka,2026-06-14,52.2,215.1,43.2,17.5,0.65,50.91
Dwarka,2026-06-15,31.9,168.8,39.2,14.9,1.25,36.04
Dwarka,2026-06-16,35.1,153.5,50.6,10.5,0.9,30.58
Dwarka,2026-06-17,31.9,173.0,35.5,15.0,1.1,45.59
Dwarka,2026-06-18,58.8,258.2,36.6,20.8,1.04,34.29
Dwarka,2026-06-19,31.1,183.2,26.0,16.7,0.91,38.03
Dwarka,2026-06-20,47.2,212.5,34.1,11.5,0.79,33.9
Dwarka,2026-06-21,25.4,137.2,20.8,14.3,0.48,30.79
Dwarka,2026-06-22,22.5,274.5,29.1,16.7,0.89,37.22
Dwarka,2026-06-23,64.0,203.7,41.2,32.1,0.89,36.58
Dwarka,2026-06-24,27.6,142.5,37.7,16.3,1.15,37.06
Dwarka,2026-06-25,36.4,230.1,43.0,23.4,1.07,46.74
Dwarka,2026-06-26,23.2,125.2,22.9,16.8,0.76,22.8
Dwarka,2026-06-27,46.5,195.4,31.0,11.7,1.49,44.2
Dwarka,2026-06-28,39.0,197.0,25.3,16.4,0.92,49.83
Dwarka,2026-06-29,36.8,218.7,21.8,9.9,0.94,30.81
Dwarka,2026-06-30,31.9,256.1,21.8,17.6,0.58,23.81
Dwarka,2026-07-01,26.8,140.4,19.8,10.4,0.75,24.96
Dwarka,2026-07-02,28.3,112.5,22.7,13.7,1.04,38.3
Dwarka,2026-07-03,32.3,146.3,22.3,14.1,1.18,28.12
Dwarka,2026-07-04,52.9,199.1,31.8,14.2,1.59,21.56
Dwarka,2026-07-05,50.9,145.1,31.8,12.5,1.92,9.64
Dwarka,2026-07-06,44.7,168.1,24.7,19.1,1.25,27.81
Dwarka,2026-07-07,25.9,156.1,29.3,6.0,1.35,17.69
Dwarka,2026-07-08,22.6,41.6,19.1,9.3,0.94,9.31
Dwarka,2026-07-09,13.5,43.2,10.1,13.2,0.88,20.8
Dwarka,2026-07-10,15.4,80.4,12.1,7.4,1.03,30.6
Dwarka,2026-07-11,33.1,327.6,17.6,2.3,0.99,19.5
Dwarka,2026-07-12,44.6,384.4,15.8,9.8,0.88,17.71
Dwarka,2026-07-13,29.5,216.0,21.8,11.1,0.84,23.16
Dwarka,2026-07-14,28.9,241.6,27.9,14.4,1.48,24.75
Dwarka,2026-07-15,27.0,191.8,29.1,,,
Dwarka,2026-07-16,34.9,249.0,35.4,,1.37,12.92
Dwarka,2026-07-17,45.2,278.6,49.1,5.8,1.87,19.12
Dwarka,2026-07-18,37.1,261.8,35.9,6.1,2.09,20.6
Dwarka,2026-07-19,40.2,230.2,37.2,9.9,0.95,23.84
Dwarka,2026-07-20,34.2,169.8,34.3,8.7,1.25,12.41
Dwarka,2026-07-21,21.0,79.0,43.0,7.9,1.1,7.0
Jahangirpuri,2025-10-01,115.2,125.8,44.3,11.1,2.06,98.67
Jahangirpuri,2025-10-02,96.8,126.8,45.0,8.6,1.57,25.44
Jahangirpuri,2025-10-03,34.0,51.7,25.6,10.3,1.02,60.08
Jahangirpuri,2025-10-04,89.5,186.7,44.2,15.0,1.8,61.62
Jahangirpuri,2025-10-05,81.5,174.7,37.7,12.3,1.86,99.0
Jahangirpuri,2025-10-06,33.5,66.3,31.2,9.0,1.18,31.93
Jahangirpuri,2025-10-07,28.8,44.2,33.6,8.3,1.35,71.74
Jahangirpuri,2025-10-08,52.3,96.4,41.0,9.6,1.49,66.91
Jahangirpuri,2025-10-09,60.1,146.0,42.7,11.6,1.46,75.67
Jahangirpuri,2025-10-10,95.8,237.1,48.5,14.5,1.54,94.64
Jahangirpuri,2025-10-11,91.3,219.2,47.6,11.9,2.24,37.73
Jahangirpuri,2025-10-12,90.1,220.3,49.3,12.9,2.05,66.42
Jahangirpuri,2025-10-13,103.0,256.5,51.6,12.8,2.21,96.55
Jahangirpuri,2025-10-14,113.8,272.5,59.5,13.8,2.06,117.93
Jahangirpuri,2025-10-15,140.3,332.8,62.6,14.5,2.52,147.66
Jahangirpuri,2025-10-16,177.5,403.4,73.5,23.6,2.92,145.09
Jahangirpuri,2025-10-17,173.5,381.5,75.2,20.3,2.53,110.56
Jahangirpuri,2025-10-18,156.9,310.2,67.6,23.4,1.37,130.78
Jahangirpuri,2025-10-19,199.7,391.0,70.6,18.4,2.25,104.7
Jahangirpuri,2025-10-20,303.1,453.9,67.0,75.8,2.63,131.38
Jahangirpuri,2025-10-21,291.1,392.0,52.2,56.4,1.99,96.56
Jahangirpuri,2025-10-22,217.6,345.1,57.8,19.6,1.93,105.64
Jahangirpuri,2025-10-23,191.7,371.2,68.5,14.4,2.74,121.45
Jahangirpuri,2025-10-24,156.6,333.3,73.4,16.3,2.77,119.69
Jahangirpuri,2025-10-25,221.7,475.3,74.0,14.6,3.97,18.79
Jahangirpuri,2025-10-26,188.5,357.5,76.5,14.8,4.3,10.64
Jahangirpuri,2025-10-27,173.2,328.7,62.5,11.0,3.58,10.56
Jahangirpuri,2025-10-28,139.8,235.7,58.7,11.2,1.34,10.64
Jahangirpuri,2025-10-29,191.2,346.7,74.4,16.6,3.28,10.44
Jahangirpuri,2025-10-30,234.0,395.5,82.5,9.8,2.8,10.59
Jahangirpuri,2025-10-31,118.0,214.8,57.5,9.5,4.04,10.38
Jahangirpuri,2025-11-01,246.7,411.9,79.5,18.3,2.89,10.76
Jahangirpuri,2025-11-02,158.1,320.9,80.7,23.4,1.65,71.27
Jahangirpuri,2025-11-03,276.1,472.6,91.5,26.4,7.29,107.86
Jahangirpuri,2025-11-04,161.8,322.7,92.0,37.5,8.52,5.8
Jahangirpuri,2025-11-05,122.1,228.2,74.9,5.9,2.04,65.44
Jahangirpuri,2025-11-06,213.0,335.7,97.2,13.7,2.38,121.09
Jahangirpuri,2025-11-07,264.9,433.5,103.2,17.5,2.9,135.34
Jahangirpuri,2025-11-08,324.2,535.0,90.1,22.4,3.05,129.13
Jahangirpuri,2025-11-09,262.3,419.3,78.6,30.3,2.62,4.33
Jahangirpuri,2025-11-10,299.3,514.4,102.9,41.1,4.11,17.9
Jahangirpuri,2025-11-11,384.5,600.4,104.0,44.2,3.6,31.41
Jahangirpuri,2025-11-12,391.5,626.3,98.2,30.5,4.34,13.2
Jahangirpuri,2025-11-13,343.5,557.4,100.7,37.7,3.17,36.67
Jahangirpuri,2025-11-14,234.9,448.7,100.4,26.9,2.52,83.73
Jahangirpuri,2025-11-15,296.0,510.0,108.8,27.1,2.94,98.62
Jahangirpuri,2025-11-16,302.5,507.1,108.4,29.2,3.0,95.64
Jahangirpuri,2025-11-17,296.0,502.7,108.8,28.7,6.17,105.35
Jahangirpuri,2025-11-18,351.1,614.3,122.7,42.8,7.35,101.06
Jahangirpuri,2025-11-19,350.6,533.8,133.9,39.7,7.69,125.06
Jahangirpuri,2025-11-20,321.8,535.8,134.7,36.2,6.1,127.28
Jahangirpuri,2025-11-21,306.7,503.0,131.4,31.0,5.67,105.06
Jahangirpuri,2025-11-22,324.0,545.5,121.9,32.7,5.94,118.31
Jahangirpuri,2025-11-23,367.1,584.4,121.5,37.6,4.07,117.85
Jahangirpuri,2025-11-24,274.4,475.8,119.6,29.6,3.74,106.21
Jahangirpuri,2025-11-25,224.8,409.1,113.1,28.5,2.78,109.1
Jahangirpuri,2025-11-26,250.0,418.0,116.2,27.3,2.6,4.3
Jahangirpuri,2025-12-01,191.9,326.3,116.3,27.2,2.23,128.96
Jahangirpuri,2025-12-02,280.8,477.4,126.3,34.3,4.46,122.16
Jahangirpuri,2025-12-03,176.9,310.9,106.8,28.2,2.9,104.89
Jahangirpuri,2025-12-04,185.5,308.6,109.3,29.0,2.65,112.14
Jahangirpuri,2025-12-05,221.3,349.5,121.3,33.8,3.36,116.69
Jahangirpuri,2025-12-06,187.4,295.6,105.7,31.4,2.09,97.57
Jahangirpuri,2025-12-07,186.7,302.7,74.8,28.5,2.48,98.74
Jahangirpuri,2025-12-08,170.0,297.8,75.3,27.4,3.22,88.9
Jahangirpuri,2025-12-09,161.7,295.0,71.4,28.1,2.64,92.01
Jahangirpuri,2025-12-10,144.5,258.4,66.2,19.3,2.2,60.11
Jahangirpuri,2025-12-11,259.6,367.3,76.1,18.9,5.26,84.78
Jahangirpuri,2025-12-12,320.6,458.0,96.6,20.9,5.89,96.56
Jahangirpuri,2025-12-13,482.3,619.3,126.3,17.2,4.94,68.58
Jahangirpuri,2025-12-14,517.1,632.5,112.1,14.6,6.52,32.71
Jahangirpuri,2025-12-15,391.3,443.9,118.0,16.5,4.7,80.06
Jahangirpuri,2025-12-16,213.8,332.5,107.6,18.9,2.25,81.73
Jahangirpuri,2025-12-17,243.5,364.9,101.4,16.9,2.95,79.95
Jahangirpuri,2025-12-18,278.7,357.9,83.9,10.2,2.9,27.88
Jahangirpuri,2025-12-19,275.8,325.5,91.3,13.0,5.6,48.85
Jahangirpuri,2025-12-20,418.7,500.8,71.6,19.6,7.4,9.04
Jahangirpuri,2025-12-21,265.1,362.4,81.3,23.1,2.92,44.26
Jahangirpuri,2025-12-22,310.8,454.6,86.2,24.3,3.4,69.08
Jahangirpuri,2025-12-23,275.2,364.2,87.5,26.4,2.8,67.76
Jahangirpuri,2025-12-24,133.5,221.4,81.7,27.1,2.7,75.45
Jahangirpuri,2025-12-25,202.6,331.6,91.9,32.3,2.74,87.62
Jahangirpuri,2025-12-26,338.9,447.2,83.1,22.5,3.72,66.7
Jahangirpuri,2025-12-27,302.1,409.3,86.5,11.6,2.45,62.44
Jahangirpuri,2025-12-28,269.1,359.7,96.0,7.9,2.05,58.05
Jahangirpuri,2025-12-29,384.2,501.7,101.4,12.1,3.65,33.77
Jahangirpuri,2025-12-30,298.7,391.0,95.1,13.4,2.44,38.44
Jahangirpuri,2025-12-31,269.6,346.7,80.2,10.2,2.3,10.45
Jahangirpuri,2026-01-01,246.9,332.4,79.6,10.8,1.8,29.32
Jahangirpuri,2026-01-02,124.4,183.4,79.0,10.8,1.57,22.65
Jahangirpuri,2026-01-03,178.0,254.9,78.9,11.5,1.36,36.17
Jahangirpuri,2026-01-04,199.5,272.2,79.9,13.5,1.22,37.42
Jahangirpuri,2026-01-05,153.0,237.1,74.8,11.1,2.01,38.0
Jahangirpuri,2026-01-06,185.0,247.5,77.3,9.9,0.96,5.26
Jahangirpuri,2026-01-07,232.4,330.2,77.4,13.3,2.12,24.35
Jahangirpuri,2026-01-08,171.5,261.7,67.1,9.2,2.02,41.99
Jahangirpuri,2026-01-09,205.1,296.8,62.8,8.4,2.34,36.29
Jahangirpuri,2026-01-10,205.5,322.3,68.1,8.5,1.88,36.98
Jahangirpuri,2026-01-11,173.5,248.1,64.2,7.6,1.78,40.36
Jahangirpuri,2026-01-12,201.6,308.2,70.1,10.3,2.41,57.74
Jahangirpuri,2026-01-13,298.8,381.9,86.7,12.4,2.61,54.71
Jahangirpuri,2026-01-14,272.0,355.0,99.1,9.5,2.41,49.64
Jahangirpuri,2026-01-15,231.5,304.2,90.9,6.8,3.09,47.65
Jahangirpuri,2026-01-16,283.0,363.9,97.0,7.9,3.34,47.49
Jahangirpuri,2026-01-17,316.6,389.8,92.9,6.4,3.16,54.89
Jahangirpuri,2026-01-18,387.5,539.0,113.1,39.6,4.27,60.18
Jahangirpuri,2026-01-19,367.5,462.9,94.8,35.1,3.89,60.04
Jahangirpuri,2026-01-20,301.2,411.3,91.1,27.9,2.96,67.94
Jahangirpuri,2026-01-21,218.8,329.2,89.0,18.2,2.95,57.26
Jahangirpuri,2026-01-22,214.3,347.0,97.6,17.7,4.45,86.81
Jahangirpuri,2026-01-23,148.5,204.5,81.5,8.7,1.21,49.04
Jahangirpuri,2026-01-24,97.5,200.0,75.1,14.2,0.98,44.85
Jahangirpuri,2026-01-25,113.0,204.0,94.2,30.4,1.74,53.35
Jahangirpuri,2026-01-26,179.4,274.4,109.2,37.3,2.99,83.74
Jahangirpuri,2026-01-27,229.8,311.4,110.8,37.7,2.36,19.94
Jahangirpuri,2026-01-28,183.8,237.5,100.7,33.2,1.64,15.51
Jahangirpuri,2026-01-29,141.2,196.4,97.1,31.2,2.2,30.27
Jahangirpuri,2026-01-30,138.6,198.6,101.3,34.9,1.25,50.73
Jahangirpuri,2026-01-31,214.5,326.8,119.3,34.7,1.46,41.4
Jahangirpuri,2026-02-01,158.0,263.2,102.9,35.0,3.2,31.14
Jahangirpuri,2026-02-02,161.8,219.5,101.0,34.0,1.89,21.53
Jahangirpuri,2026-02-03,192.5,279.8,103.5,35.4,1.84,50.57
Jahangirpuri,2026-02-04,218.1,326.3,104.0,36.3,2.38,59.55
Jahangirpuri,2026-02-05,137.8,226.8,89.9,33.3,1.35,76.51
Jahangirpuri,2026-02-06,117.8,216.4,105.7,39.1,1.32,74.74
Jahangirpuri,2026-02-07,122.4,219.8,98.3,35.5,1.21,76.86
Jahangirpuri,2026-02-08,97.7,194.7,103.9,36.7,1.7,85.5
Jahangirpuri,2026-02-09,157.0,289.4,110.9,43.3,2.27,100.64
Jahangirpuri,2026-02-10,180.9,349.5,125.8,43.4,2.32,89.2
Jahangirpuri,2026-02-11,188.1,358.1,117.0,43.5,2.95,64.84
Jahangirpuri,2026-02-12,92.4,193.5,94.9,38.8,1.54,53.45
Jahangirpuri,2026-02-13,111.5,225.5,95.2,40.7,1.85,71.36
Jahangirpuri,2026-02-14,130.5,256.5,88.9,44.9,1.77,63.64
Jahangirpuri,2026-02-15,136.2,222.0,85.1,38.9,2.1,30.4
Jahangirpuri,2026-02-16,138.7,308.4,90.9,50.0,2.75,77.85
Jahangirpuri,2026-02-17,169.2,343.1,88.5,49.0,2.23,29.43
Jahangirpuri,2026-02-18,145.6,278.8,79.4,45.0,3.27,13.0
Jahangirpuri,2026-02-19,96.7,173.3,68.1,43.6,1.63,26.6
Jahangirpuri,2026-02-20,113.8,213.7,62.4,44.5,1.36,18.54
Jahangirpuri,2026-02-21,143.7,251.7,68.6,40.9,1.54,25.17
Jahangirpuri,2026-02-22,121.0,222.4,79.4,42.0,1.59,30.94
Jahangirpuri,2026-02-23,131.4,267.0,80.5,43.8,2.04,23.69
Jahangirpuri,2026-02-24,150.2,306.8,68.1,43.9,2.03,13.45
Jahangirpuri,2026-02-25,136.7,275.8,69.3,44.1,1.42,15.89
Jahangirpuri,2026-02-26,101.6,266.8,76.6,40.6,1.65,14.56
Jahangirpuri,2026-02-27,86.6,264.2,80.6,38.0,1.59,21.81
Jahangirpuri,2026-02-28,113.0,326.2,92.8,40.0,2.38,6.49
Jahangirpuri,2026-03-01,97.2,261.0,97.3,37.1,1.27,5.4
Jahangirpuri,2026-03-02,101.0,230.2,71.7,39.2,1.39,12.2
Jahangirpuri,2026-03-03,95.8,214.9,48.3,39.9,1.46,78.41
Jahangirpuri,2026-03-05,70.1,195.2,37.1,35.5,1.11,55.11
Jahangirpuri,2026-03-06,103.0,250.4,47.7,37.3,1.75,70.4
Jahangirpuri,2026-03-07,145.1,285.8,52.7,36.5,1.87,59.96
Jahangirpuri,2026-03-08,131.6,271.4,53.7,42.5,2.48,76.88
Jahangirpuri,2026-03-09,114.1,229.8,43.9,37.8,1.5,43.64
Jahangirpuri,2026-03-10,143.4,277.7,52.0,39.2,1.76,24.91
Jahangirpuri,2026-03-11,120.1,304.7,56.3,43.9,2.72,37.01
